Date,Open-p,High-p,Low-p,Close-p,Adj Close-p,Volume-p,Open-z,High-z,Low-z,Close-z,Adj Close-z,Volume-z
12/29/2020,138.050003,138.789993,134.339996,134.869995,134.668762,121047300,3309.939941,3350.649902,3281.219971,3322,3322,4872900
12/30/2020,135.580002,135.990005,133.399994,133.720001,133.520477,96452100,3341,3342.100098,3282.469971,3285.850098,3285.850098,3209300
12/31/2020,134.080002,134.740005,131.720001,132.690002,132.49202,99116600,3275,3282.919922,3241.199951,3256.929932,3256.929932,2957200
1/4/2021,133.520004,133.610001,126.760002,129.410004,129.216919,143301900,3270,3272,3144.02002,3186.629883,3186.629883,4411400
1/5/2021,128.889999,131.740005,128.429993,131.009995,130.814514,97664900,3166.01001,3223.379883,3165.060059,3218.51001,3218.51001,2655500
1/6/2021,127.720001,131.050003,126.379997,126.599998,126.411102,155088000,3146.47998,3197.51001,3131.159912,3138.379883,3138.379883,4394800
1/7/2021,128.360001,131.630005,127.860001,130.919998,130.724655,109578200,3157,3208.540039,3155,3162.159912,3162.159912,3514500
1/8/2021,132.429993,132.630005,130.229996,132.050003,131.852966,105158200,3180,3190.639893,3142.199951,3182.699951,3182.699951,3537700
1/11/2021,129.190002,130.169998,128.5,128.979996,128.787552,100620900,3148.01001,3156.379883,3110,3114.209961,3114.209961,3683400
1/12/2021,128.5,129.690002,126.860001,128.800003,128.607819,91951100,3120,3142.139893,3086,3120.830078,3120.830078,3514600
1/13/2021,128.759995,131.449997,128.490005,130.889999,130.694702,88636800,3128.439941,3189.949951,3122.080078,3165.889893,3165.889893,3321200
1/14/2021,130.800003,131,128.759995,128.910004,128.717667,90221800,3167.52002,3178,3120.590088,3127.469971,3127.469971,3070900
1/15/2021,128.779999,130.220001,127,127.139999,126.950294,111598500,3123.02002,3142.550049,3095.169922,3104.25,3104.25,4244000
1/19/2021,127.779999,128.710007,126.940002,127.830002,127.639267,90757300,3107,3145,3096,3120.76001,3120.76001,3305100
1/20/2021,128.660004,132.490005,128.550003,132.029999,131.832993,104319500,3181.98999,3279.800049,3175,3263.379883,3263.379883,5309800
1/21/2021,133.800003,139.669998,133.589996,136.869995,136.665771,120529500,3293,3348.550049,3289.570068,3306.98999,3306.98999,4945100
1/22/2021,136.279999,139.850006,135.020004,139.070007,138.862503,114459400,3304.310059,3321.909912,3283.159912,3292.22998,3292.22998,2821900
1/25/2021,143.070007,145.089996,136.539993,142.919998,142.706757,157611700,3328.5,3363.889893,3243.149902,3294,3294,3749800
1/26/2021,143.600006,144.300003,141.369995,143.160004,142.946396,98390600,3296.360107,3338,3282.870117,3326.129883,3326.129883,2955200
1/27/2021,143.429993,144.300003,140.410004,142.059998,141.848038,140843800,3341.48999,3346.52002,3207.080078,3232.580078,3232.580078,4660200
1/28/2021,139.520004,141.990005,136.699997,137.089996,136.885452,142621100,3235.040039,3301.679932,3228.689941,3237.620117,3237.620117,3149200
1/29/2021,135.830002,136.740005,130.210007,131.960007,131.763107,177180600,3230,3236.98999,3184.550049,3206.199951,3206.199951,4285600
2/1/2021,133.75,135.380005,130.929993,134.139999,133.93985,106239800,3242.360107,3350.26001,3235.030029,3342.879883,3342.879883,4160200
2/2/2021,135.729996,136.309998,134.610001,134.990005,134.788589,83305400,3380,3427.73999,3361.129883,3380,3380,7098600
2/3/2021,135.759995,135.770004,133.610001,133.940002,133.740158,89880900,3425.01001,3434,3308.620117,3312.530029,3312.530029,7088800
2/4/2021,136.300003,137.399994,134.589996,137.389999,137.184998,84183100,3330,3347,3277.75,3331,3331,3670700
